"PatientID","Diagnosis","Breed","Age","Sex","Neutered","WeightChange","Weight","Hospitalised","HeartRate","Temperature","Vomiting","Diarrhoea","Hepatomegaly","ThinDrySkin","Alopecia","Pruritus","MuscleWastageWeakness","Lethargy","Panting","Neurological","Polydipsia","Polyuria","IncreasedALKP","IncreasedATL/GGT/AST","LowUSG","Proteinuria","Hypertensive","LowBloodSugar","Hypothyroid","CruciateSurgery"
69,"1","Border Terrier",8,"F",True,"Weight loss",10.2,False,NULL,38.6,False,False,False,True,True,False,False,False,False,False,True,True,"True","False","True",False,False,False,False,False
70,"1","Crossbreed",13,"M",False,"No change",24.8,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,"True","True","False",True,False,False,False,False
71,"1","West Highland White Terrier",10,"F",True,"No change",7.9,False,NULL,NULL,False,False,False,True,True,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
72,"1","Yorkshire Terrier",12,"F",True,"No change",13.85,False,NULL,NULL,False,False,True,True,True,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
73,"1","Crossbreed",9,"M",False,"No change",23.7,False,54,NULL,False,False,False,False,False,False,False,False,False,False,False,True,"True","True","True",False,False,False,False,False
74,"1","Crossbreed",12,"F",True,"No change",19.8,True,NULL,NULL,False,True,False,False,False,False,False,False,False,False,True,True,NULL,NULL,"True",False,False,False,False,False
75,"1","Boxer",8,"M",True,"No change",39.9,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
76,"1","Crossbreed",11,"M",True,"Weight loss",9,False,NULL,NULL,False,False,False,False,False,False,False,False,True,False,True,True,"True",NULL,"False",True,False,False,False,False
77,"1","Crossbreed",12,"M",False,"No change",10.7,False,NULL,NULL,False,False,True,False,True,False,True,True,False,False,False,False,NULL,NULL,"False",True,False,False,False,False
78,"1","Dogue de Bordeaux",8,"F",True,"No change",40.45,False,80,NULL,False,False,True,False,True,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
79,"1","Staffordshire Bull Terrier",8,"M",True,"Weight loss",NULL,False,NULL,NULL,False,False,True,True,False,False,True,False,False,False,True,True,"True","False","False",False,False,False,False,False
80,"1","Crossbreed",12,"F",True,"No change",15.7,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,True,NULL,NULL,"True",False,False,False,False,False
81,"1","Jack Russell Terrier",13,"M",True,"No change",9.3,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,True,NULL,NULL,"True",True,False,False,False,False
82,"1","Poodle",14,"F",True,"No change",6.2,True,NULL,NULL,False,False,False,True,False,False,False,True,False,False,True,True,"True","True",NULL,NULL,False,False,True,False
83,"1","Crossbreed",8,"F",False,"No change",11.9,True,NULL,NULL,False,False,True,True,True,False,False,False,True,False,True,False,"True",NULL,NULL,NULL,False,False,False,False
84,"1","Border Terrier",15,"F",True,"No change",11.3,True,120,38.3,False,False,False,False,False,False,False,False,True,False,False,False,NULL,NULL,"True",True,False,True,False,False
85,"1","Cavalier King Charles Spaniel",12,"M",False,"No change",10.35,False,NULL,38.7,False,False,False,False,False,False,False,False,False,False,True,True,NULL,"True","True",False,False,False,False,False
86,"1","Beagle",10,"F",True,"No change",12.9,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,True,"False","False","True",True,False,False,False,False
87,"1","Crossbreed",16,"M",False,"No change",11.1,False,120,38.7,False,False,True,False,False,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
88,"1","Jack Russell Terrier",9,"F",True,"No change",10.4,False,NULL,NULL,False,False,True,False,False,False,False,False,False,True,True,True,"True","True",NULL,NULL,False,False,False,False
89,"1","Dobermann",8,"M",True,"No change",NULL,False,120,38.6,False,False,False,False,False,False,False,False,True,False,True,True,"True","True","True",True,False,False,False,False
90,"1","Collie",11,"M",True,"No change",27.2,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
91,"1","Crossbreed",9,"F",False,"Weight gain",12.1,False,NULL,NULL,False,False,True,True,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
92,"1","Crossbreed",8,"F",True,"Weight gain",38.4,False,80,39,False,True,True,False,True,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
93,"1","Jack Russell Terrier",12,"F",True,"No change",NULL,False,110,NULL,False,False,True,False,False,False,True,True,True,True,True,True,NULL,NULL,NULL,NULL,False,False,False,False
94,"1","Staffordshire Bull Terrier",13,"F",True,"Weight loss",16.15,False,NULL,38.2,False,False,False,True,True,False,True,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
95,"1","Crossbreed",9,"F",True,"Weight gain",44.8,False,NULL,NULL,False,False,True,True,False,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
96,"1","Dachshund",15,"F",True,"No change",7.2,False,NULL,38.2,False,False,False,False,False,False,False,False,False,False,True,False,"True","True","False",False,False,False,False,False
97,"1","Bichon Frise",11,"M",True,"No change",9.3,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
98,"1","Tibetan Spaniel",12,"F",True,"No change",4.8,False,100,NULL,False,False,False,False,False,False,False,True,False,False,True,True,"True","True","True",True,False,False,False,False
99,"1","Crossbreed",9,"M",False,"No change",19,False,NULL,NULL,False,False,True,False,False,False,False,False,False,False,True,False,"True","True",NULL,NULL,False,False,False,False
100,"1","Poodle",11,"F",True,"No change",12.8,False,NULL,NULL,False,False,True,False,True,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
101,"1","Patterdale Terrier",12,"M",True,"No change",15.5,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,"True","True","False",False,False,False,False,False
102,"1","Crossbreed",11,"F",True,"No change",11.75,True,NULL,NULL,False,False,True,False,False,False,False,False,False,False,False,False,"True","True","False",True,False,False,False,True
103,"1","Poodle",14,"F",True,"No change",22.6,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,False,"True","True","False",False,False,False,False,False
104,"1","Crossbreed",6,"F",True,"No change",8.2,False,NULL,NULL,False,False,False,True,True,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
105,"1","Bichon Frise",10,"F",True,"No change",8.2,False,96,38.3,False,False,True,False,False,False,False,False,False,False,True,False,"True","False","True",True,False,False,False,False
106,"1","Japanese Spitz",8,"F",True,"Weight loss",8.9,False,68,NULL,False,False,False,True,True,False,False,True,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
107,"1","Crossbreed",15,"F",True,"No change",NULL,True,140,38.4,False,False,False,False,False,False,False,False,False,False,False,False,"True",NULL,NULL,NULL,False,False,False,False
108,"1","Sealyham Terrier",13,"M",False,"No change",13.5,False,NULL,NULL,False,False,True,False,False,False,True,False,True,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
109,"1","Jack Russell Terrier",13,"M",True,"No change",NULL,True,100,NULL,False,False,False,False,False,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
110,"1","Cocker Spaniel",11,"M",True,"No change",15.2,False,NULL,NULL,False,True,False,False,False,False,False,True,True,False,True,True,"True","False",NULL,NULL,False,False,False,False
111,"1","Crossbreed",12,"F",True,"No change",10.3,False,NULL,NULL,False,False,True,False,False,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
112,"1","Staffordshire Bull Terrier",14,"F",False,"No change",22,False,NULL,NULL,False,False,False,True,False,True,False,False,False,False,True,False,"True","True","True",True,False,False,False,False
113,"1","Yorkshire Terrier",13,"F",True,"No change",3.85,False,112,38.9,False,True,True,False,True,False,False,False,True,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
114,"1","Border Terrier",8,"F",False,"No change",10.1,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,True,NULL,NULL,"True",NULL,False,False,False,False
115,"1","West Highland White Terrier",12,"F",True,"No change",7.5,False,NULL,38.7,False,False,False,False,False,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
116,"1","Crossbreed",7,"F",True,"No change",12.2,False,68,38,False,False,True,False,False,False,False,False,False,False,True,True,"True","True","True",True,False,False,False,False
117,"1","Jack Russell Terrier",12,"M",True,"Weight gain",NULL,False,100,38.3,False,False,True,False,False,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
118,"1","Yorkshire Terrier",8,"F",False,"No change",5.68,False,NULL,NULL,False,False,True,True,True,False,False,False,False,False,True,False,NULL,NULL,NULL,NULL,False,False,False,False
119,"1","Bichon Frise",9,"F",True,"No change",10.1,False,NULL,NULL,False,False,True,False,False,False,False,False,False,False,True,False,NULL,NULL,"True",True,False,False,False,False
120,"1","Bichon Frise",8,"M",True,"No change",13.6,True,124,38.5,True,False,True,False,False,False,False,False,False,False,True,True,"True","True","False",False,False,False,False,False
121,"1","Staffordshire Bull Terrier",13,"F",True,"No change",NULL,True,130,38.7,False,False,True,False,False,False,True,True,True,False,True,True,NULL,NULL,NULL,NULL,False,True,False,False
